1.1. 不住寂靜法則
- 財富使人對欲樂產生迷醉，貪求欲望奪取正念。
- 沉迷者無法覺察自己已偏離正道，處境如同被陷阱束縛。
35.2.2 最終的果報
- 此種行為將導致未來的痛苦，所招感的果報是惡劣的。

36.1. 妄語行為的普遍法則
36.1.1 適用對象與行為
- 任何人，無論其社會地位（如剎帝利、婆羅門、家主）或財富狀況（大富、大財大產、甚多資財、甚多財穀）。
- 皆可能為了追求欲樂，明知故犯地說妄語。
36.1.2 根本原因與認知狀態
- 內在驅動力為對欲樂的強烈追求，心靈被貪欲所佔據與迷惑。
- 因貪迷於欲樂，而無法認知正確的道路，其處境如同落入網羅的魚類，難以逃脫。
36.1.3 必然後果
- 行為必將導致長遠的不利與苦惱。
- 在未來將結出苦澀的果實，此果實的本質即是惡。

37.1. 普遍的自愛法則
37.1.1 自愛的普遍性
- 一切眾生皆認為無有其他之人比自己更為可愛。
37.1.2 法則的推論
- 由於一切眾生皆以自身為最愛，因此為人處世應以自愛為出發點，不應做出傷害他人的行為。

38.1. 供犧的種類與果報差異
38.1.1 無大果報的供犧
- 以殺害眾生為手段的供犧，例如殺害牛、羊、山羊等各類牲畜。
- 此類大規模的殺害行為，伴隨著強迫與恐懼，故所得果報微小。
38.1.2 有大果報的供犧
- 不殺害任何眾生、依循正道的供犧。
- 此種供犧雖行事簡約，但需恆常實踐，故能獲得大果報，且為善行，絕無空過。
38.2. 不同供犧的評價
38.2.1 不被認可的供犧
- 包含賽棒、人祭、馬祭、勝利者之飲等儀式。
- 此類儀式因涉及殺害，故不被聖者所奉行。
38.2.2 被認可的供犧
- 賢者與聖者所實踐的供犧，能獲得諸天的讚賞。

39.1. 世間束縛的真相
39.1.1 外在的束縛形式
- 以繩索捆綁
- 以羅網捕捉
- 以鎖鏈束縛
39.1.2 內在的真正束縛
- 心靈的迷醉與執著
- 對珠寶首飾的貪戀
- 對妻子家人的牽掛
39.2. 解脫之道
39.2.1 認識束縛的本質
- 賢者不認為外在束縛是真正的束縛
- 內心對欲樂的執著才是強力束縛
- 這種束縛雖看似緩和卻難以脫離
39.2.2 實踐解脫的方法
- 培養無欲的心境
- 捨棄世間欲樂
- 斷除執著而出家修行

40.1. 判斷修行境界的基本原則
- 僅憑外在表相與生活條件，無法判斷一個人是否為阿羅漢或具足阿羅漢道。
- 在家享受欲樂、擁有財富者，其內心境界難以被外人直接知曉。
40.2. 判斷修行境界的具體方法
40.2.1 觀察的共通準則
- 必須經過長期互動，而非短暫接觸
- 必須經過深入思惟，而非不假思索
- 必須運用智慧觀察，而非無智判斷
40.2.2 四種觀察途徑
- 透過共同生活觀察持戒
- 透過交談觀察內心清淨
- 透過逆境觀察心性穩定
- 透過討論觀察智慧深淺
40.3. 外在表相的誤導性
- 人的外在樣貌與表現容易造成誤判，不應即刻輕信
- 世間有許多缺乏自制之人外表裝飾華美，內在卻不淨
- 如同渡金銅器外表閃亮，實則內在價值不高
- 許多內在不淨之人，僅靠外在美好表象在世間活動

41.1. 五欲愛好的基本原則
41.1.1 五欲的種類
- 色：眼所見的形色。
- 聲：耳所聞的聲音。
- 香：鼻所嗅的香氣。
- 味：舌所嘗的味道。
- 觸：身體所接觸的觸感。
41.1.2 心意的決定性作用
- 所有五欲對象，皆有心所喜好與心不喜好之分。
- 個人對五欲的愛好程度，完全由其內心決定。
41.2. 最高欲愛的判定標準
41.2.1 滿足的狀態
- 當個人依賴某一欲樂而感到歡喜。
- 其內心對此欲樂的渴望獲得完全滿足。
41.2.2 超越比較的狀態
- 滿足後，內心不再希求其他更殊勝、更微妙的同類欲樂。
- 達到此狀態時，該欲樂對此人而言，即為無上最殊勝者。
41.3. 法則的普遍應用
41.3.1 適用於所有五欲
- 此判定標準普遍適用於色、聲、香、味、觸等每一種欲樂。
- 對於不同個人，最殊勝的欲樂種類可能各不相同。

42.1. 飲食的基本法則
42.1.1 正念飲食的核心原則
- 飲食時應保持持續的正念。
- 攝取食物應知道適宜的份量。
42.1.2 正念飲食的效益
- 能夠減少身體的痛苦。
- 能夠延緩身體的衰老。
- 能夠增長壽命的長度。
42.2. 法則的實踐與驗證
42.2.1 實踐過程
- 透過逐步調整，達到飲食的適量。
42.2.2 實踐成果
- 身體變得比以前更加健康。
- 親身驗證了健康改善的事實。
42.3. 法則的深遠利益
42.3.1 利益的雙重性
- 此飲食法則能帶來現世的利益。
- 此飲食法則能帶來未來的利益。

43.1. 勝敗所導致的痛苦
43.1.1 勝敗引發的負面後果
- 勝利會產生怨敵。
- 失敗者會陷入痛苦，難以安眠。
43.2. 解脫痛苦的方法
43.2.1 捨棄勝敗的執著
- 必須完全放下對勝利與失敗的執著心。
43.3. 捨離後的境界
43.3.1 內心的平靜與生活的安樂
- 內心達到平靜的狀態。
- 生活獲得安樂，能夠安穩入睡。

44.1. 行為回報的基本法則
44.1.1 法則核心原理
- 行為所產生的後果必然回歸到行為者自身
- 行為與回報形成連續不斷的循環
- 所有行為都會產生相應的業力回報
- 業力法則不受個人意願影響而運作
44.1.2 具體回報對應關係
- 殺害他人者，將遭遇被殺害的後果
- 戰勝他人者，將遭遇被戰勝的後果
- 譏諷他人者，將遭遇被誹謗的後果
- 惱害他人者，將遭遇被惱害的後果
- 為自身利益而掠奪他人者，自身也將遭受掠奪
- 傷害他人者，最終將被他人所傷害
44.2. 業果實現的必然過程
44.2.1 因果發展規律
- 惡行種下的因，終將結出苦果
- 行為的後果在時機成熟時必然顯現
- 惡行即使暫時得利，最終必招致苦果
44.3. 愚者的認知偏差
44.3.1 錯誤思維特徵
- 愚者認為惡行可以帶來利益
- 愚者將傷害他人視為正當行為
- 愚者未能認識到業力法則的必然性

45.1. 核心價值與特質
45.1.1 子女的根本價值
- 價值不在性別，而在德行與智慧。
- 德行包含持守戒律。
45.1.2 賢妻的根本特質
- 個人修養：具有智慧、持守戒律。
- 家庭責任：敬重婆婆（長輩）、侍奉丈夫。
45.2. 賢妻的深遠影響
- 所生的兒子，能成為英雄與國家的主宰。
- 能輔助並教導君王治理國家。

46.1. 不放逸的核心地位
46.1.1 唯一雙利之法
- 不放逸是唯一能同時取得現世利益與未來利益的方法。
- 所有追求現世與未來利益的方法，皆統攝於不放逸這一法之中。
46.2. 不放逸帶來的具體利益
46.2.1 現世利益
- 生命長久。
- 身體無病。
- 容貌美貌。
- 實現每日願望。
- 出生於高貴之家。
46.2.2 未來利益
- 得以生於天界。
46.3. 賢者對不放逸的態度與實踐
46.3.1 賢者的行為與稱讚
- 賢者實踐功德與不放逸。
- 賢者稱讚不放逸。
46.4. 實踐不放逸的成果
46.4.1 雙重利益的獲得與稱謂
- 實踐不放逸能獲得現世與未來的利益。
- 能獲得此二種利益的人，被稱為把握了此法的真義，並被稱為英雄與賢者。

47.1. 善友為梵行之全部
47.1.1 善友之重要性與助成
- 應與善友、善朋、善伴交往，而非與惡友、惡朋、惡伴交往。
- 有善友之比丘，得以期待並屢修八支聖道，依遠離、依離貪、依滅，修正見、正思、正語、正業、正命、正精進、正念、正定，捨離煩惱並轉向涅槃。
47.1.2 善友之普遍利益
- 以善友為依，生法、老法、病法、死法、愁悲苦惱悶之眾生，皆依其法而解脫。
47.2. 不放逸為實踐之根本
47.2.1 不放逸之實踐與影響
- 欲有善友、善朋、善伴者，應依善法不放逸而住。
- 若王依不放逸而住，後宮、侍臣、國民亦應思念並依不放逸而住。
47.2.2 不放逸之護持與利益
- 王依不放逸而住，能護自己、護後宮、護庫藏。
- 賢者不放逸，得二種利：現世之益利以及未來利。

48.1. 財富使用行為與對象
48.1.1 使用對象
- 自己
- 父母
- 妻子
- 下男、下僕
- 朋友
- 沙門、婆羅門
48.1.2 使用方式
- 令樂、喜
- 行布施
48.2. 財富使用結果
48.2.1 正當使用結果
- 財富不被王沒收
- 財富不被盜賊奪取
- 財富不被火燒毀
- 財富不被水流走
- 財富不被不喜愛之相續者奪取
- 財富有用而無破滅行
48.2.2 錯誤使用結果
- 財富被王沒收
- 財富被盜賊奪取
- 財富被火燒毀
- 財富被水流走
- 財富被不喜愛之相續者奪取
- 財富成為無用之破滅行

49.1. 業果運作規律
- 一切行為產生相應果報，決定眾生命運與福報表現
- 財富與社會地位皆由過去業力所決定
49.2. 業力作用特徵
49.2.1 業力隨身原則
- 身口意所造業行永遠跟隨
- 唯有業力是真正隨身之物
49.2.2 外物離散原則
- 金銀財寶、奴僕屬下等外在擁有終將離去
49.3. 福報障礙類型
49.3.1 享受能力缺失
- 無法享受優質飲食、精美衣物、舒適車乘等五欲享受
49.3.2 傳承途徑中斷
- 無子嗣繼承財產，財富最終歸入王庫
49.4. 修行實踐要領
- 應當積極行善積德，以善業作為未來安樂基礎
- 功德是渡越輪迴的依憑，需持續積累新功德

50.1. 生命軌跡基本法則
50.1.1 軌跡決定原理
- 生命最終歸宿完全取決於身、口、意行為的善惡性質
- 初始條件不決定最終結果，行為性質才是決定性因素
50.1.2 行為分類體系
- 行為類型：身行、口行、意行
- 行為性質：惡行、善行
50.2. 軌跡類型與對應關係
50.2.1 起點與終點組合
- 黑暗起點：貧困卑賤家庭，生活艱難，物資匱乏，可能有殘疾
- 光明起點：富貴高貴家庭，生活優渥，物資豐足，容貌端正
- 黑暗終點：死後墮入苦難境地
- 光明終點：死後生於安樂境地
50.2.2 行為與軌跡對應法則
- 身口意皆造惡行 → 終點為黑暗
- 身口意皆造善行 → 終點為光明
- 起點狀態不改變行為與終點的對應關係

51.1. 眾生必死之法則
51.1.1 死亡之普遍與必然
- 一切眾生皆為死法，終當必死，無能超越於死。
51.2. 業果法則之運作
51.2.1 業果之基本原則與展現
- 眾生應如依其業，隨行功罪果。
- 依惡墮地獄，功德生天界。
51.3. 積善之實踐與利益
51.3.1 積善之行動與未來利益
- 然者行善事，積善為未來。
- 功德實眾人，後世渡津場。

52.1. 世間三種根本不善法
52.1.1 三法的定義與影響
- 當世間有特定的法生起時，會導致不利、苦惱與不安的後果。
- 此三法即是：貪、瞋、癡。
52.1.2 三法的具體內容
- 貪：貪欲在世間生起。
- 瞋：瞋恚在世間生起。
- 癡：愚癡在世間生起。
52.2. 三法的總結
- 貪、瞋、癡這三種不善法生於世間，是造成一切不利、苦惱與不安的根本原因。

53.1. 布施功德的核心法則
- 布施的功德果報大小，取決於受施者的修行境界。
53.2. 受施者資格與果報關聯
- 對持戒清淨者行施，能獲得大果報；對戒行有虧者行施，則不然。
- 對同時具備「遠離五種障礙」與「具足五種修行成果」的修行者行施，能產生極大的功德果報。
53.3. 殊勝受施者的具體特質
53.3.1 遠離五種障礙
- 遠離對感官欲樂的貪愛
- 遠離瞋恨心
- 遠離昏沉與嗜睡
- 遠離內心浮躁與後悔
- 遠離對真理的懷疑
53.3.2 具足五種修行成果
- 圓滿無缺的戒行成就
- 圓滿無缺的心靈安定成就
- 圓滿無缺的智慧成就
- 圓滿無缺的心靈解脫成就
- 圓滿無缺的解脫智慧認知成就

54.1. 老死之必然壓迫
54.1.1 老死的普遍性與不可抵禦
- 老死如同從四方迫近的虛空大山，壓碎一切生物。
- 此為人類滅盡之可怕大恐怖，人身難再獲得。
- 無論身份貴賤，從剎帝利、婆羅門、毘舍、首陀羅乃至旃陀羅，所有人皆無法逃脫老死的逼迫。
54.1.2 世間力量的無效性
- 象軍、馬軍、車軍、步軍等軍事力量，於老死壓來時，無任何防禦方法與餘地。
- 善咒大臣的咒語戰，無法防禦老死的壓迫。
- 莫大的黃金財寶，於老死壓來時，亦無任何防禦之方法與餘地。
54.2. 唯一有效之應對
54.2.1 正行之法則
- 當老死壓迫來臨時，唯一應作之事是：法行、正行、善業、功德業。
- 除此之外，別無其他可為之事。
54.3. 正行之具體實踐與果報
54.3.1 實踐之根基
- 應以信仰植根於佛法及僧伽。
54.3.2 實踐之方式
- 應以身、口、心，依循正法而行。
54.3.3 實踐之果報
- 於此世將承受讚譽。
- 於未來世將往生天界。

55.1. 解脫的核心法則
55.1.1 解脫的正確途徑
- 脫離無利益之苦行並非解脫之道。
- 真正的解脫需修習戒律、禪定與智慧。
- 此戒定慧的修習是成就菩提的正道。
55.1.2 解脫的成就狀態
- 透過正思惟與正精進，能實證無上解脫。
- 解脫者已脫離一切天、人等所有係縛。
- 覺者已破除愛欲貪著之網，於一切存在中無所迷惑。
55.2. 修行者的心態與實踐
55.2.1 對待生命的態度
- 認識到人類壽命短暫無常。
- 因此應把握時機行善、實踐清淨梵行。
- 明白一切有生命者終將死亡，無一例外。
55.2.2 修行生活的實踐
- 應為眾生利益與幸福而行。
- 說法應具備初善、中善、終善的文義。
- 教導圓滿清淨的梵行。
55.3. 修行過程中的干擾
55.3.1 干擾的表現形式
- 恐怖景象的顯現。
- 各種清淨與不清淨形相的變現。
- 對修行者睡眠休息的質疑。
- 對壽命長短的錯誤見解。
- 對親屬、財產等依戀的鼓吹。
55.3.2 干擾的本質
- 這些干擾源於對清淨與不清淨相的執著。
- 執著於這些相只會導致長久的輪迴。
- 干擾者試圖以恐懼、誘惑等方式動搖修行者。
55.4. 對治干擾的方法
55.4.1 正確的認知
- 清楚識別這些干擾的本質。
- 明白透過身、語、意的善調伏，能夠克服干擾。
- 不造作惡行，即不與惡魔相應。
55.4.2 堅定的心念
- 即使面對最恐怖的景象，覺者亦無所畏懼。
- 縱使天地震動、利刃加身，諸佛亦不因此驚慌。
- 應輕視短暫的壽命，精進修行。

56.1. 解脫者不動搖之特質
- 內心保持平靜不動，超越世間愛著
- 無畏說法，以正念克服身心苦痛
56.1.1 超越感官束縛
- 對五境不生貪著，意識不隨外境轉動
- 如實知見五取蘊非我、非我所
56.1.2 解脫心靈束縛
- 離貪則心平安，超脫一切結縛
- 無悔無苦，日夜安住
56.2. 魔擾之本質與對治
56.2.1 魔擾表現形式
- 製造恐怖景象與聲響，昏昧修行者眼目
- 透過感官領域宣稱所有權
56.2.2 根本對治方法
- 保持正念正知，徹底離貪著
- 如實知見諸法非我
56.3. 解脫者教法之特質
56.3.1 教法動機
- 依利益眾生而教，出於哀憐有情而說
- 已完全解脫貪瞋
56.3.2 教法內容
- 以五取蘊為教法核心，闡述六觸處之真相
